word,class,level,meaning,full_sentence,category
dark,adjective,a1,"tối, sẫm màu",The sky became dark very quickly as the storm approached.,Weather & Climate
dark,noun,a2,bóng tối,We waited until dark before lighting the campfire.,Time
darkness,noun,b2,"sự tối tăm, bóng tối",The power outage plunged the entire city into darkness.,Environment
data,noun,a2,dữ liệu,The company collects a lot of customer data to improve its services.,Computing & Internet
database,noun,b2,cơ sở dữ liệu,All the customer information is stored in a secure database.,Computing & Internet
date,noun,a1,ngày tháng; quả chà là,What is the date today?,Calendar & Dates
date,verb,b2,hẹn hò; ghi ngày tháng,They have been dating for six months.,Family
daughter,noun,a1,con gái,My daughter loves to read books before bedtime.,Family
dawn,noun,c1,"bình minh, rạng đông",We woke up at dawn to watch the sunrise over the mountains.,Time
day,noun,a1,ngày,Today is a beautiful day for a walk in the park.,Calendar & Dates
dead,adjective,a2,"chết, đã chết",The old tree in the garden has been dead for years.,Science
deadline,noun,b2,"hạn chót, thời hạn",The deadline for submitting the project is next Friday.,Work & Career
deadly,adjective,b2,"gây chết người, chí mạng",The cobra is a deadly snake whose venom can kill a human.,General
deal,noun,b1,"thỏa thuận, giao dịch",We made a great deal on the new car.,Business & Management
deal,verb,a2,"giải quyết, đối phó; phân phát",How do you deal with difficult customers?,Business & Management
dealer,noun,b2,"người buôn bán, đại lý",She bought the antique vase from a reputable art dealer.,Finance
dear,adjective,a1,"thân yêu, quý mến","My dear friend, it's wonderful to see you again.",Family
dear,exclamation,a2,"ôi trời ơi (biểu lộ sự ngạc nhiên, thất vọng)","Oh dear, I seem to have forgotten my wallet!",Emotions
death,noun,a2,"cái chết, sự chết",The death of her pet made her very sad.,Emotions
debate,noun,b2,"cuộc tranh luận, sự tranh cãi",There was a lively debate about the new policy in parliament.,Government & Politics
debate,verb,b2,"tranh luận, tranh cãi",They debated the pros and cons of the proposal for hours.,Professions
debris,noun,c1,"mảnh vỡ, đống đổ nát","After the earthquake, rescue workers searched through the debris for survivors.",General
debt,noun,b2,"nợ, khoản nợ",Many students graduate from university with a significant amount of debt.,Economics & Trade
debut,noun,c1,"sự ra mắt, lần đầu xuất hiện",Her debut novel received critical acclaim and became a bestseller.,Grammar
decade,noun,b1,thập kỷ (mười năm),The city has changed dramatically over the past decade.,Duration & Frequency
December,noun,a1,tháng Mười Hai,"My birthday is in December, just before Christmas.",Calendar & Dates
decent,adjective,b2,"tử tế, đàng hoàng; khá tốt",They earn a decent living from their small farm.,Professions
decide,verb,a1,quyết định,It's difficult to decide which university to attend.,Personal Development
decision,noun,a2,"sự quyết định, quyết định",Making a good decision often requires careful thought.,Professions
decision-making,noun,c1,"quá trình ra quyết định, việc đưa ra quyết định",Effective decision-making is crucial for a company's success.,Professions
decisive,adjective,c1,"có tính quyết định, dứt khoát, kiên quyết",Her decisive action saved the project from failure.,People
deck,noun,b2,"boong tàu, sàn (xe buýt, nhà), bộ bài",We enjoyed the view from the ship's upper deck.,Travel
declaration,noun,c1,"sự tuyên bố, lời tuyên bố, bản kê khai",The government issued a declaration of emergency.,Government & Politics
declare,verb,b2,"tuyên bố, công bố",The government decided to declare a state of emergency.,Government & Politics
decline,noun,b2,"sự suy giảm, sự sụt giảm",There has been a significant decline in the number of new cases.,Science
decline,verb,b2,"từ chối; suy giảm, sụt giảm",She had to decline the invitation due to a prior commitment.,Communication
decorate,verb,b1,trang trí,We plan to decorate the living room for the holidays.,Home & Housing
decoration,noun,b2,"đồ trang trí, sự trang trí",The Christmas decorations were put up early this year.,General
decrease,noun,b2,"sự giảm sút, sự suy giảm",There has been a significant decrease in the number of new cases this week.,Science
decrease,verb,b2,"giảm bớt, làm giảm",The company decided to decrease its production due to lower demand.,Professions
dedicated,adjective,c1,"tận tụy, tận tâm; chuyên dụng",She is a dedicated teacher who always puts her students first.,Professions
dedication,noun,c1,"sự tận tụy, sự cống hiến",His dedication to the project was evident in the long hours he worked.,People
deed,noun,c1,"hành động, việc làm; văn tự (pháp lý)","A good deed is never wasted, no matter how small.",General
deem,verb,c1,"coi là, cho là, xét thấy",The committee will deem whether the proposal is acceptable.,Politics & Law
deep,adjective,a2,"sâu, sâu sắc",The lake is very deep in the middle.,Environment
deep,adverb,b1,"sâu, sâu vào",He dug deep into the earth to find the treasure.,General
deeply,adverb,b2,"sâu sắc, rất nhiều, một cách sâu sắc",She was deeply moved by the sad story.,Emotions
default,noun,c1,"sự mặc định, sự vỡ nợ, sự thiếu sót",The computer's default settings are usually sufficient for most users.,Technology
defeat,noun,b2,"sự thất bại, sự đánh bại",The team accepted their defeat with grace after a tough game.,Sports
defeat,verb,b2,"đánh bại, làm thất bại",Our army managed to defeat the enemy forces in a decisive battle.,General
defect,noun,c1,"khuyết điểm, lỗi, sai sót",The new smartphone was recalled due to a software defect.,Technology
defence,noun,b2,"sự phòng thủ, sự bảo vệ",The country's defence budget has increased significantly this year.,Crime & Justice
defend,verb,b2,"bảo vệ, phòng thủ",The lawyer will defend her client against the accusations in court.,Crime & Justice
defender,noun,b2,"người bảo vệ, hậu vệ","The team's best defender blocked the shot, saving the game.",Sports
defensive,adjective,c1,"phòng thủ, có tính phòng vệ",He became very defensive when asked about his mistakes.,Emotions
deficiency,noun,c1,"sự thiếu hụt, sự thiếu sót",A vitamin D deficiency can lead to bone problems.,Health
deficit,noun,c1,"sự thâm hụt (tài chính), số tiền thiếu hụt",The country is facing a large budget deficit this year.,Economics & Trade
define,verb,b1,"định nghĩa, xác định",Can you define the term 'democracy' in your own words?,General
definite,adjective,b1,"rõ ràng, xác định, chắc chắn",We need a definite answer by tomorrow morning.,Communication
definitely,adverb,a2,"chắc chắn rồi, nhất định rồi",I will definitely help you with your project.,General
definition,noun,b1,"định nghĩa, sự định nghĩa",Please provide a clear definition for each term.,Grammar
defy,verb,c1,"thách thức, bất chấp, chống lại",The small country continued to defy the demands of the larger nations.,General
degree,noun,a2,"mức độ, bằng cấp, độ (nhiệt độ)",She earned a degree in history from a prestigious university.,General
delay,noun,b2,"sự chậm trễ, sự trì hoãn",There was a significant delay in the flight due to bad weather.,Travel
delay,verb,b2,"làm chậm trễ, trì hoãn",We had to delay the meeting until next week.,Professions
delegate,noun,c1,"đại biểu, người đại diện",Each country sent a delegate to the international conference.,Politics & Law
delegation,noun,c1,"phái đoàn, đoàn đại biểu",A small delegation was sent to negotiate the peace treaty.,General
delete,verb,b2,"xóa bỏ, gạch bỏ",Please delete the old files from your computer to free up space.,Technology
deliberate,adjective,b2,"có chủ ý, cố ý, thận trọng",The committee made a deliberate decision to postpone the vote.,General
deliberately,adverb,b2,"một cách cố ý, có chủ tâm","He deliberately ignored my question, which made me suspicious.",General
delicate,adjective,c1,"tinh tế, mỏng manh, dễ vỡ",The antique vase was so delicate that she handled it with extreme care.,Furniture & Objects
delicious,adjective,a1,"ngon, thơm ngon",The homemade apple pie was absolutely delicious.,Food & Drink
delight,noun,b2,"sự vui sướng, niềm vui",The children shrieked with delight when they saw the ice cream truck.,Feelings & States
delight,verb,b2,"làm vui thích, làm hài lòng",The beautiful music will delight everyone in the audience.,Arts & Music
delighted,adjective,b2,"rất vui mừng, hài lòng",She was absolutely delighted with her new bicycle.,Emotions
deliver,verb,b1,"giao hàng, phân phát; phát biểu",The postman delivers mail to our house every morning.,General
delivery,noun,b2,"sự giao hàng, sự phân phát; bài phát biểu",We are expecting a delivery of fresh groceries this afternoon.,Finance
demand,noun,b2,nhu cầu; yêu cầu,The demand for organic food has increased significantly in recent years.,Economics & Trade
demand,verb,b2,"yêu cầu, đòi hỏi",The manager will demand a full report by the end of the day.,Professions
democracy,noun,b2,nền dân chủ,Many countries strive to establish a stable democracy.,Government & Politics
democratic,adjective,b2,dân chủ (thuộc về dân chủ),The organization aims to be more democratic in its decision-making process.,Government & Politics
demon,noun,c1,"quỷ, ác quỷ","In ancient myths, heroes often fought against powerful demons.",General
